transaction_id,date,description,payee,amount,channel
TXN-1868,2026-01-01 10:30:00,Monthly Salary Credit,TechCorp Solutions India,95000.0,NEFT
TXN-1880,2026-01-01 11:41:08,Restaurant / Cafe Dining,Swiggy Orders,1569.15,UPI
TXN-1881,2026-01-02 19:57:33,Retail E-Commerce Purchase,Decathlon Sports,6477.13,CARD
TXN-1882,2026-01-03 10:41:59,Restaurant / Cafe Dining,Swiggy Orders,653.39,UPI
TXN-1883,2026-01-03 16:34:46,Grocery & Household Supplies,BigBasket Online,3598.21,CARD
TXN-1884,2026-01-03 19:01:48,Grocery & Household Supplies,Local Kirana Store,4054.49,UPI
TXN-1885,2026-01-04 21:57:40,Personal Transfer,Amit Kapoor,1183.81,UPI
TXN-1869,2026-01-05 14:15:00,Residential Apartment Rent,Flat Rent Landlord,22000.0,NEFT
TXN-1887,2026-01-08 11:43:01,Restaurant / Cafe Dining,Mainland China Resto,345.27,UPI
TXN-1886,2026-01-08 17:17:38,Restaurant / Cafe Dining,Swiggy Orders,1121.89,UPI
TXN-1888,2026-01-08 21:38:30,Utility & Telecom Bill Payment,City Gas Corp,1282.34,UPI
TXN-1889,2026-01-09 10:10:12,Grocery & Household Supplies,Local Kirana Store,3317.02,CARD
TXN-1891,2026-01-10 10:59:28,Retail E-Commerce Purchase,Decathlon Sports,4845.67,CARD
TXN-1890,2026-01-10 14:14:47,Utility & Telecom Bill Payment,Metro Broadband,2630.77,NETBANKING
TXN-1892,2026-01-10 21:29:56,Grocery & Household Supplies,Local Kirana Store,3360.81,UPI
TXN-1893,2026-01-11 14:39:47,Restaurant / Cafe Dining,Chai Point,1002.39,UPI
TXN-1894,2026-01-11 19:50:02,Restaurant / Cafe Dining,Mainland China Resto,887.59,UPI
TXN-1895,2026-01-12 11:33:34,Restaurant / Cafe Dining,Blue Tokai Coffee,1056.94,UPI
TXN-1896,2026-01-12 16:48:40,Personal Transfer,Sunita Nair,1810.31,UPI
TXN-1897,2026-01-13 12:49:52,Grocery & Household Supplies,Nature Basket,2034.23,CARD
TXN-1899,2026-01-14 09:11:49,Restaurant / Cafe Dining,Chai Point,347.32,UPI
TXN-1898,2026-01-14 10:29:53,Restaurant / Cafe Dining,Blue Tokai Coffee,1334.05,UPI
TXN-1900,2026-01-15 15:01:11,Restaurant / Cafe Dining,Swiggy Orders,1602.68,UPI
TXN-1901,2026-01-17 18:58:45,Utility & Telecom Bill Payment,State Electricity Board,1064.3,UPI
TXN-1902,2026-01-18 09:33:45,Restaurant / Cafe Dining,Chai Point,1148.28,UPI
TXN-1903,2026-01-20 08:49:10,Retail E-Commerce Purchase,Flipkart Internet,2059.26,CARD
TXN-1904,2026-01-22 08:26:19,Grocery & Household Supplies,Local Kirana Store,1532.93,CARD
TXN-1905,2026-01-22 09:57:08,Personal Transfer,Rahul Mehta,3301.52,UPI
TXN-1906,2026-01-23 15:31:54,Restaurant / Cafe Dining,Blue Tokai Coffee,1141.41,UPI
TXN-1907,2026-01-24 11:37:42,Restaurant / Cafe Dining,Mainland China Resto,862.35,UPI
TXN-1908,2026-01-25 08:15:56,Restaurant / Cafe Dining,Chai Point,1176.11,UPI
TXN-1909,2026-01-26 11:03:11,Grocery & Household Supplies,BigBasket Online,587.7,CARD
TXN-1910,2026-01-26 18:36:53,Restaurant / Cafe Dining,Zomato Delivery,1666.25,UPI
TXN-1911,2026-01-28 10:10:43,Grocery & Household Supplies,Daily Needs Supermarket,2596.06,CARD
TXN-1913,2026-01-29 13:23:57,Restaurant / Cafe Dining,Blue Tokai Coffee,1394.18,UPI
TXN-1912,2026-01-29 19:37:23,Personal Transfer,Rahul Mehta,3958.3,UPI
TXN-1914,2026-01-29 21:35:04,Grocery & Household Supplies,Nature Basket,907.59,UPI
TXN-1915,2026-01-30 14:33:13,Utility & Telecom Bill Payment,Mobile Postpaid Airtel,986.73,NETBANKING
TXN-1916,2026-01-31 19:38:59,Utility & Telecom Bill Payment,City Gas Corp,1853.58,UPI
TXN-1870,2026-02-01 10:30:00,Monthly Salary Credit,TechCorp Solutions India,95000.0,NEFT
TXN-1917,2026-02-01 17:39:22,Personal Transfer,Domestic Help Anita,3031.85,UPI
TXN-1918,2026-02-02 18:31:31,Retail E-Commerce Purchase,Flipkart Internet,4955.51,CARD
TXN-1919,2026-02-03 08:07:01,Restaurant / Cafe Dining,Blue Tokai Coffee,1358.95,UPI
TXN-1920,2026-02-03 11:51:39,Personal Transfer,Flat Rent Landlord,704.71,UPI
TXN-1921,2026-02-03 13:35:51,Restaurant / Cafe Dining,Blue Tokai Coffee,1196.24,UPI
TXN-1923,2026-02-04 09:43:21,Grocery & Household Supplies,Daily Needs Supermarket,2759.98,CARD
TXN-1922,2026-02-04 12:50:04,Grocery & Household Supplies,Daily Needs Supermarket,2512.48,CARD
TXN-1924,2026-02-05 11:21:53,Grocery & Household Supplies,Local Kirana Store,3885.61,CARD
TXN-1871,2026-02-05 14:15:00,Residential Apartment Rent,Flat Rent Landlord,22000.0,NEFT
TXN-1925,2026-02-05 18:08:30,Grocery & Household Supplies,Local Kirana Store,3795.22,UPI
TXN-1926,2026-02-06 21:26:59,Utility & Telecom Bill Payment,Mobile Postpaid Airtel,1553.46,UPI
TXN-1927,2026-02-07 08:13:36,Utility & Telecom Bill Payment,City Gas Corp,1005.6,NETBANKING
TXN-1928,2026-02-08 08:21:24,Restaurant / Cafe Dining,Swiggy Orders,1079.25,UPI
TXN-1929,2026-02-09 17:07:55,Utility & Telecom Bill Payment,City Gas Corp,2507.38,UPI
TXN-1930,2026-02-10 12:26:05,Restaurant / Cafe Dining,Swiggy Orders,744.26,UPI
TXN-1931,2026-02-10 21:19:13,Restaurant / Cafe Dining,Swiggy Orders,308.55,UPI
TXN-1933,2026-02-11 16:09:12,Grocery & Household Supplies,Local Kirana Store,3196.65,UPI
TXN-1932,2026-02-11 20:12:58,Grocery & Household Supplies,Daily Needs Supermarket,543.51,UPI
TXN-1934,2026-02-12 10:49:55,Grocery & Household Supplies,Daily Needs Supermarket,2987.69,CARD
