transaction_id,date,description,payee,amount,channel
TXN-1423,2026-01-01 10:30:00,Monthly Salary Credit,TechCorp Solutions India,95000.0,NEFT
TXN-1435,2026-01-01 14:29:49,Utility & Telecom Bill Payment,Mobile Postpaid Airtel,1204.25,NETBANKING
TXN-1436,2026-01-02 12:26:58,Personal Transfer,Rahul Mehta,4240.93,UPI
TXN-1437,2026-01-03 13:19:21,Restaurant / Cafe Dining,Swiggy Orders,995.47,UPI
TXN-1438,2026-01-03 13:30:06,Restaurant / Cafe Dining,Mainland China Resto,655.77,UPI
TXN-1439,2026-01-04 20:45:07,Grocery & Household Supplies,BigBasket Online,2879.89,CARD
TXN-1424,2026-01-05 14:15:00,Residential Apartment Rent,Flat Rent Landlord,22000.0,NEFT
TXN-1441,2026-01-05 15:14:51,Restaurant / Cafe Dining,Swiggy Orders,433.13,UPI
TXN-1442,2026-01-05 18:27:25,Grocery & Household Supplies,Daily Needs Supermarket,3761.62,UPI
TXN-1440,2026-01-05 19:15:33,Grocery & Household Supplies,Nature Basket,1691.21,UPI
TXN-1443,2026-01-06 14:00:45,Grocery & Household Supplies,BigBasket Online,3271.22,CARD
TXN-1444,2026-01-07 20:55:34,Grocery & Household Supplies,BigBasket Online,1189.03,CARD
TXN-1445,2026-01-08 21:31:33,Personal Transfer,Amit Kapoor,3186.37,UPI
TXN-1446,2026-01-09 17:07:22,Restaurant / Cafe Dining,Mainland China Resto,1157.17,UPI
TXN-1448,2026-01-10 13:07:15,Grocery & Household Supplies,Nature Basket,1849.9,CARD
TXN-1447,2026-01-10 19:51:19,Retail E-Commerce Purchase,Amazon India,4762.18,CARD
TXN-1449,2026-01-11 14:38:08,Restaurant / Cafe Dining,Mainland China Resto,432.07,UPI
TXN-1450,2026-01-12 19:58:41,Personal Transfer,Sunita Nair,2997.11,UPI
TXN-1451,2026-01-13 10:11:20,Retail E-Commerce Purchase,Amazon India,5787.27,CARD
TXN-1452,2026-01-14 15:08:12,Retail E-Commerce Purchase,Decathlon Sports,3368.41,CARD
TXN-1453,2026-01-14 15:26:45,Retail E-Commerce Purchase,Decathlon Sports,2086.44,CARD
TXN-1454,2026-01-14 17:01:50,Utility & Telecom Bill Payment,City Gas Corp,926.83,NETBANKING
TXN-1455,2026-01-15 10:49:29,Restaurant / Cafe Dining,Mainland China Resto,1043.54,UPI
TXN-1457,2026-01-18 15:34:13,Personal Transfer,Rahul Mehta,3811.95,UPI
TXN-1456,2026-01-18 21:23:34,Retail E-Commerce Purchase,Amazon India,5228.02,CARD
TXN-1458,2026-01-19 11:19:55,Personal Transfer,Flat Rent Landlord,1682.67,UPI
TXN-1459,2026-01-19 21:52:05,Restaurant / Cafe Dining,Blue Tokai Coffee,1423.06,UPI
TXN-1461,2026-01-21 10:50:13,Retail E-Commerce Purchase,Amazon India,4221.39,CARD
TXN-1460,2026-01-21 17:44:22,Retail E-Commerce Purchase,Decathlon Sports,2079.7,CARD
TXN-1462,2026-01-22 17:34:10,Grocery & Household Supplies,BigBasket Online,1535.0,UPI
TXN-1463,2026-01-23 16:57:43,Retail E-Commerce Purchase,Flipkart Internet,6302.69,CARD
TXN-1465,2026-01-23 19:55:08,Grocery & Household Supplies,BigBasket Online,3556.81,UPI
TXN-1464,2026-01-23 20:26:58,Grocery & Household Supplies,BigBasket Online,3701.43,CARD
TXN-1466,2026-01-24 17:40:17,Restaurant / Cafe Dining,Mainland China Resto,879.35,UPI
TXN-1467,2026-01-25 20:05:25,Restaurant / Cafe Dining,Zomato Delivery,1287.1,UPI
TXN-1468,2026-01-26 15:31:20,Restaurant / Cafe Dining,Blue Tokai Coffee,1347.97,UPI
TXN-1469,2026-01-26 15:40:42,Utility & Telecom Bill Payment,State Electricity Board,2719.84,UPI
TXN-1470,2026-01-28 11:31:17,Grocery & Household Supplies,BigBasket Online,1716.58,CARD
TXN-1471,2026-01-29 15:50:21,Retail E-Commerce Purchase,Amazon India,1443.5,CARD
TXN-1472,2026-01-30 21:29:01,Grocery & Household Supplies,Nature Basket,2104.82,CARD
TXN-1474,2026-01-31 12:05:41,Restaurant / Cafe Dining,Blue Tokai Coffee,744.7,UPI
TXN-1473,2026-01-31 14:12:44,Retail E-Commerce Purchase,Zara Clothing,2042.58,CARD
TXN-1475,2026-01-31 18:10:03,Restaurant / Cafe Dining,Zomato Delivery,1339.66,UPI
TXN-1425,2026-02-01 10:30:00,Monthly Salary Credit,TechCorp Solutions India,95000.0,NEFT
TXN-1477,2026-02-01 10:37:14,Restaurant / Cafe Dining,Mainland China Resto,135.6,UPI
TXN-1476,2026-02-01 14:41:05,Utility & Telecom Bill Payment,State Electricity Board,1351.54,NETBANKING
TXN-1479,2026-02-02 11:24:05,Utility & Telecom Bill Payment,State Electricity Board,1092.52,UPI
TXN-1478,2026-02-02 21:07:55,Restaurant / Cafe Dining,Swiggy Orders,922.54,UPI
TXN-1480,2026-02-03 10:24:49,Retail E-Commerce Purchase,Flipkart Internet,4600.35,CARD
TXN-1481,2026-02-03 18:09:04,Restaurant / Cafe Dining,Blue Tokai Coffee,1145.34,UPI
TXN-1482,2026-02-05 11:40:47,Grocery & Household Supplies,Local Kirana Store,2760.29,UPI
TXN-1426,2026-02-05 14:15:00,Residential Apartment Rent,Flat Rent Landlord,22000.0,NEFT
TXN-1483,2026-02-06 09:57:06,Grocery & Household Supplies,Fresh Mart,2660.9,UPI
TXN-1484,2026-02-06 13:27:20,Utility & Telecom Bill Payment,Metro Broadband,1500.87,NETBANKING
TXN-1485,2026-02-08 19:38:18,Utility & Telecom Bill Payment,State Electricity Board,2842.55,UPI
TXN-1486,2026-02-10 11:47:25,Grocery & Household Supplies,Fresh Mart,3389.26,CARD
TXN-1487,2026-02-11 09:15:31,Restaurant / Cafe Dining,Blue Tokai Coffee,1007.52,UPI
TXN-1490,2026-02-12 11:02:59,Grocery & Household Supplies,Local Kirana Store,2349.79,UPI
TXN-1488,2026-02-12 13:59:20,Grocery & Household Supplies,Daily Needs Supermarket,2028.24,CARD
TXN-1489,2026-02-12 20:30:49,Grocery & Household Supplies,Daily Needs Supermarket,703.25,UPI
TXN-1491,2026-02-13 14:05:40,Restaurant / Cafe Dining,Chai Point,376.5,UPI
TXN-1493,2026-02-16 12:44:27,Utility & Telecom Bill Payment,Metro Broadband,986.08,NETBANKING
TXN-1494,2026-02-16 14:07:29,Restaurant / Cafe Dining,Blue Tokai Coffee,639.61,UPI
TXN-1492,2026-02-16 20:09:34,Grocery & Household Supplies,Daily Needs Supermarket,2828.6,CARD
TXN-1496,2026-02-17 15:22:33,Restaurant / Cafe Dining,Zomato Delivery,400.5,UPI
TXN-1495,2026-02-17 19:11:07,Grocery & Household Supplies,Nature Basket,3080.62,CARD
TXN-1498,2026-02-19 12:33:04,Grocery & Household Supplies,Daily Needs Supermarket,2803.25,UPI
TXN-1497,2026-02-19 12:46:56,Grocery & Household Supplies,Fresh Mart,1706.29,UPI
TXN-1499,2026-02-20 13:03:31,Retail E-Commerce Purchase,Flipkart Internet,3148.75,CARD
TXN-1500,2026-02-21 09:57:36,Utility & Telecom Bill Payment,State Electricity Board,1386.75,NETBANKING
