transaction_id,date,description,payee,amount,channel
TXN-1013,2026-01-01 08:47:17,Grocery & Household Supplies,Nature Basket,3211.77,CARD
TXN-1001,2026-01-01 10:30:00,Monthly Salary Credit,TechCorp Solutions India,95000.0,NEFT
TXN-1014,2026-01-02 08:01:05,Grocery & Household Supplies,Daily Needs Supermarket,2707.57,CARD
TXN-1015,2026-01-03 19:34:26,Grocery & Household Supplies,Daily Needs Supermarket,1493.22,CARD
TXN-1016,2026-01-03 20:51:10,Utility & Telecom Bill Payment,City Gas Corp,1503.0,NETBANKING
TXN-1019,2026-01-04 09:35:18,Retail E-Commerce Purchase,Zara Clothing,4259.97,CARD
TXN-1017,2026-01-04 13:06:05,Restaurant / Cafe Dining,Zomato Delivery,1543.79,UPI
TXN-1018,2026-01-04 17:16:51,Grocery & Household Supplies,Local Kirana Store,2460.86,UPI
TXN-1020,2026-01-05 08:42:14,Utility & Telecom Bill Payment,State Electricity Board,2860.0,NETBANKING
TXN-1002,2026-01-05 14:15:00,Residential Apartment Rent,Flat Rent Landlord,22000.0,NEFT
TXN-1021,2026-01-05 14:17:29,Restaurant / Cafe Dining,Zomato Delivery,393.26,UPI
TXN-1022,2026-01-06 18:17:44,Personal Transfer,Rahul Mehta,3241.09,UPI
TXN-1023,2026-01-08 10:29:24,Grocery & Household Supplies,Daily Needs Supermarket,1273.56,UPI
TXN-1024,2026-01-08 21:49:49,Grocery & Household Supplies,Fresh Mart,3468.92,UPI
TXN-1025,2026-01-09 11:58:36,Retail E-Commerce Purchase,Zara Clothing,2326.92,CARD
TXN-1026,2026-01-10 18:29:09,Grocery & Household Supplies,Nature Basket,3243.71,UPI
TXN-1028,2026-01-11 10:32:31,Grocery & Household Supplies,Fresh Mart,3679.14,CARD
TXN-1027,2026-01-11 14:57:37,Restaurant / Cafe Dining,Swiggy Orders,1795.51,UPI
TXN-1029,2026-01-12 20:43:27,Restaurant / Cafe Dining,Mainland China Resto,761.12,UPI
TXN-1031,2026-01-13 09:43:56,Restaurant / Cafe Dining,Zomato Delivery,1411.25,UPI
TXN-1032,2026-01-13 13:07:18,Restaurant / Cafe Dining,Mainland China Resto,125.45,UPI
TXN-1030,2026-01-13 16:16:35,Retail E-Commerce Purchase,Amazon India,4805.5,CARD
TXN-1033,2026-01-14 19:16:32,Utility & Telecom Bill Payment,Mobile Postpaid Airtel,2994.68,UPI
TXN-1034,2026-01-14 21:40:32,Restaurant / Cafe Dining,Swiggy Orders,748.18,UPI
TXN-1036,2026-01-16 13:56:53,Retail E-Commerce Purchase,Flipkart Internet,1507.0,CARD
TXN-1035,2026-01-16 16:58:00,Restaurant / Cafe Dining,Mainland China Resto,152.72,UPI
TXN-1037,2026-01-16 17:05:05,Utility & Telecom Bill Payment,State Electricity Board,3148.26,NETBANKING
TXN-1038,2026-01-18 16:10:16,Restaurant / Cafe Dining,Chai Point,830.87,UPI
TXN-1039,2026-01-20 19:44:12,Utility & Telecom Bill Payment,Municipal Water Dept,3188.6,UPI
TXN-1040,2026-01-21 16:28:07,Grocery & Household Supplies,Fresh Mart,1717.82,CARD
TXN-1041,2026-01-22 08:04:45,Restaurant / Cafe Dining,Swiggy Orders,233.23,UPI
TXN-1042,2026-01-24 16:15:17,Utility & Telecom Bill Payment,Metro Broadband,2117.2,UPI
TXN-1043,2026-01-26 14:12:06,Grocery & Household Supplies,Local Kirana Store,1778.62,UPI
TXN-1044,2026-01-27 19:03:43,Utility & Telecom Bill Payment,State Electricity Board,992.44,UPI
TXN-1045,2026-01-28 09:15:12,Grocery & Household Supplies,Local Kirana Store,975.68,CARD
TXN-1046,2026-01-28 12:29:15,Retail E-Commerce Purchase,Amazon India,3548.59,CARD
TXN-1047,2026-01-29 16:06:03,Utility & Telecom Bill Payment,Mobile Postpaid Airtel,2814.66,NETBANKING
TXN-1048,2026-01-29 20:54:15,Grocery & Household Supplies,Local Kirana Store,2255.09,UPI
TXN-1049,2026-01-30 10:24:00,Personal Transfer,Amit Kapoor,4669.33,UPI
TXN-1051,2026-01-30 15:09:12,Grocery & Household Supplies,Fresh Mart,2621.93,CARD
TXN-1050,2026-01-30 20:29:18,Restaurant / Cafe Dining,Chai Point,1231.94,UPI
