transaction_id,date,description,payee,amount,channel
TXN-1648,2026-01-01 10:30:00,Monthly Salary Credit,TechCorp Solutions India,95000.0,NEFT
TXN-1660,2026-01-01 18:37:07,Utility & Telecom Bill Payment,Municipal Water Dept,1924.86,NETBANKING
TXN-1661,2026-01-02 08:33:47,Grocery & Household Supplies,Local Kirana Store,3595.56,UPI
TXN-1663,2026-01-02 10:06:24,Utility & Telecom Bill Payment,Mobile Postpaid Airtel,2924.34,UPI
TXN-1662,2026-01-02 16:49:58,Retail E-Commerce Purchase,Flipkart Internet,5071.62,CARD
TXN-1664,2026-01-03 17:58:44,Utility & Telecom Bill Payment,City Gas Corp,1784.99,UPI
TXN-1665,2026-01-04 15:51:08,Grocery & Household Supplies,Daily Needs Supermarket,3075.05,UPI
TXN-1667,2026-01-04 17:45:18,Utility & Telecom Bill Payment,Metro Broadband,3156.14,NETBANKING
TXN-1666,2026-01-04 21:44:35,Retail E-Commerce Purchase,Flipkart Internet,2264.71,CARD
TXN-1649,2026-01-05 14:15:00,Residential Apartment Rent,Flat Rent Landlord,22000.0,NEFT
TXN-1668,2026-01-05 19:40:20,Utility & Telecom Bill Payment,City Gas Corp,2171.36,UPI
TXN-1670,2026-01-06 16:06:01,Restaurant / Cafe Dining,Blue Tokai Coffee,1246.03,UPI
TXN-1669,2026-01-06 21:34:18,Retail E-Commerce Purchase,Decathlon Sports,5484.02,CARD
TXN-1671,2026-01-08 10:18:43,Grocery & Household Supplies,Fresh Mart,3039.73,UPI
TXN-1672,2026-01-08 11:48:34,Grocery & Household Supplies,Local Kirana Store,834.3,CARD
TXN-1674,2026-01-09 08:59:24,Restaurant / Cafe Dining,Zomato Delivery,1742.6,UPI
TXN-1673,2026-01-09 16:24:15,Restaurant / Cafe Dining,Zomato Delivery,1284.13,UPI
TXN-1675,2026-01-11 11:39:55,Utility & Telecom Bill Payment,Municipal Water Dept,2800.46,UPI
TXN-1676,2026-01-11 20:37:34,Utility & Telecom Bill Payment,Metro Broadband,2673.94,NETBANKING
TXN-1677,2026-01-12 10:43:04,Grocery & Household Supplies,Nature Basket,3206.55,CARD
TXN-1678,2026-01-13 14:17:35,Grocery & Household Supplies,Nature Basket,2639.95,UPI
TXN-1679,2026-01-15 10:02:09,Personal Transfer,Domestic Help Anita,728.85,UPI
TXN-1680,2026-01-16 17:53:42,Grocery & Household Supplies,Daily Needs Supermarket,2513.1,CARD
TXN-1682,2026-01-16 20:32:10,Restaurant / Cafe Dining,Chai Point,797.74,UPI
TXN-1681,2026-01-16 20:45:20,Restaurant / Cafe Dining,Swiggy Orders,994.62,UPI
TXN-1683,2026-01-17 11:42:21,Grocery & Household Supplies,BigBasket Online,1269.17,UPI
TXN-1685,2026-01-18 08:43:56,Grocery & Household Supplies,Fresh Mart,1897.03,UPI
TXN-1686,2026-01-18 08:58:33,Retail E-Commerce Purchase,Zara Clothing,3925.84,CARD
TXN-1684,2026-01-18 21:48:41,Grocery & Household Supplies,BigBasket Online,2121.25,CARD
TXN-1687,2026-01-19 15:02:18,Retail E-Commerce Purchase,Flipkart Internet,2897.66,CARD
TXN-1690,2026-01-22 19:56:47,Utility & Telecom Bill Payment,State Electricity Board,2605.19,NETBANKING
TXN-1688,2026-01-22 20:34:34,Grocery & Household Supplies,Fresh Mart,1240.43,CARD
